--------- beginning of main
07-12 19:34:04.964 12363 12363 I zygote  : Late-enabling -Xcheck:jni
--------- beginning of system
07-12 19:34:05.093 12363 12363 I ActivityThread: handleStopService: token=android.os.BinderProxy@aa15cae not found.
07-12 19:34:05.100 12363 12363 I TransferService: Starting Transfer Service to listen for network connectivity changes.
07-12 19:34:05.102 12363 12363 W LogFactory: Truncating log tag length as it exceed 23, the limit imposed by Android on certain API Levels
07-12 19:34:05.129 12363 12363 I TransferService: Registering the network receiver
07-12 19:34:05.133 12363 12363 I TransferService: Moving the service out of the Foreground state.
07-12 19:34:05.134 12363 12363 I TransferService: De-registering the network receiver.
07-12 19:34:22.673 12363 12363 I zygote  : Rejecting re-init on previously-failed class java.lang.Class<androidx.core.view.ViewCompat$2>: java.lang.NoClassDefFoundError: Failed resolution of: Landroid/view/View$OnUnhandledKeyEventListener;
07-12 19:45:10.149 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339815, current: 268224; 
07-12 19:45:10.149 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339816. This may result in incorrect timestamps in the output file.
07-12 19:45:10.149 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339816, current: 268752; 
07-12 19:45:10.149 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339817. This may result in incorrect timestamps in the output file.
07-12 19:45:10.149 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339817, current: 269280; 
07-12 19:45:10.149 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339818. This may result in incorrect timestamps in the output file.
07-12 19:45:10.151 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339818, current: 269824; 
07-12 19:45:10.151 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339819. This may result in incorrect timestamps in the output file.
07-12 19:45:10.151 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339819, current: 270352; 
07-12 19:45:10.151 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339820. This may result in incorrect timestamps in the output file.
07-12 19:45:10.151 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339820, current: 270880; 
07-12 19:45:10.151 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339821. This may result in incorrect timestamps in the output file.
07-12 19:45:10.152 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339821, current: 271424; 
07-12 19:45:10.152 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339822. This may result in incorrect timestamps in the output file.
07-12 19:45:10.152 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339822, current: 271952; 
07-12 19:45:10.152 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339823. This may result in incorrect timestamps in the output file.
07-12 19:45:10.152 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339823, current: 272480; 
07-12 19:45:10.152 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339824. This may result in incorrect timestamps in the output file.
07-12 19:45:10.153 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339824, current: 273024; 
07-12 19:45:10.153 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339825. This may result in incorrect timestamps in the output file.
07-12 19:45:10.153 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339825, current: 273552; 
07-12 19:45:10.153 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339826. This may result in incorrect timestamps in the output file.
07-12 19:45:10.155 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339826, current: 274096; 
07-12 19:45:10.155 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339827. This may result in incorrect timestamps in the output file.
07-12 19:45:10.155 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339827, current: 274624; 
07-12 19:45:10.155 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339828. This may result in incorrect timestamps in the output file.
07-12 19:45:10.155 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339828, current: 275152; 
07-12 19:45:10.155 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339829. This may result in incorrect timestamps in the output file.
07-12 19:45:10.156 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339829, current: 275696; 
07-12 19:45:10.156 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339830. This may result in incorrect timestamps in the output file.
07-12 19:45:10.156 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339830, current: 276224; 
07-12 19:45:10.156 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339831. This may result in incorrect timestamps in the output file.
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339831, current: 276752; 
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339832. This may result in incorrect timestamps in the output file.
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339832, current: 277296; 
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339833. This may result in incorrect timestamps in the output file.
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339833, current: 277824; 
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339834. This may result in incorrect timestamps in the output file.
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339834, current: 278352; 
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339835. This may result in incorrect timestamps in the output file.
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339835, current: 278896; 
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339836. This may result in incorrect timestamps in the output file.
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339836, current: 279424; 
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339837. This may result in incorrect timestamps in the output file.
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339837, current: 279968; 
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339838. This may result in incorrect timestamps in the output file.
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339838, current: 280496; 
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339839. This may result in incorrect timestamps in the output file.
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339839, current: 281024; 
07-12 19:45:10.160 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339840. This may result in incorrect timestamps in the output file.
07-12 19:45:10.162 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339840, current: 281568; 
07-12 19:45:10.162 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339841. This may result in incorrect timestamps in the output file.
07-12 19:45:10.162 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339841, current: 282096; 
07-12 19:45:10.162 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339842. This may result in incorrect timestamps in the output file.
07-12 19:45:10.163 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339842, current: 282624; 
07-12 19:45:10.163 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339843. This may result in incorrect timestamps in the output file.
07-12 19:45:10.163 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339843, current: 283168; 
07-12 19:45:10.163 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339844. This may result in incorrect timestamps in the output file.
07-12 19:45:10.163 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339844, current: 283696; 
07-12 19:45:10.163 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339845. This may result in incorrect timestamps in the output file.
07-12 19:45:10.164 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339845, current: 284224; 
07-12 19:45:10.164 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339846. This may result in incorrect timestamps in the output file.
07-12 19:45:10.164 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339846, current: 284768; 
07-12 19:45:10.164 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339847. This may result in incorrect timestamps in the output file.
07-12 19:45:10.164 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339847, current: 285296; 
07-12 19:45:10.164 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339848. This may result in incorrect timestamps in the output file.
07-12 19:45:10.166 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339848, current: 285840; 
07-12 19:45:10.166 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339849. This may result in incorrect timestamps in the output file.
07-12 19:45:10.166 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339849, current: 286368; 
07-12 19:45:10.166 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339850. This may result in incorrect timestamps in the output file.
07-12 19:45:10.166 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339850, current: 286896; 
07-12 19:45:10.167 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339851. This may result in incorrect timestamps in the output file.
07-12 19:45:10.167 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339851, current: 287440; 
07-12 19:45:10.167 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339852. This may result in incorrect timestamps in the output file.
07-12 19:45:10.167 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339852, current: 287968; 
07-12 19:45:10.167 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339853. This may result in incorrect timestamps in the output file.
07-12 19:45:10.167 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339853, current: 288496; 
07-12 19:45:10.168 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339854. This may result in incorrect timestamps in the output file.
07-12 19:45:10.168 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339854, current: 289040; 
07-12 19:45:10.168 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339855. This may result in incorrect timestamps in the output file.
07-12 19:45:10.168 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339855, current: 289568; 
07-12 19:45:10.168 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339856. This may result in incorrect timestamps in the output file.
07-12 19:45:10.170 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339856, current: 290096; 
07-12 19:45:10.170 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339857. This may result in incorrect timestamps in the output file.
07-12 19:45:10.170 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339857, current: 290640; 
07-12 19:45:10.170 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339858. This may result in incorrect timestamps in the output file.
07-12 19:45:10.170 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339858, current: 291168; 
07-12 19:45:10.171 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339859. This may result in incorrect timestamps in the output file.
07-12 19:45:10.171 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339859, current: 291712; 
07-12 19:45:10.171 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339860. This may result in incorrect timestamps in the output file.
07-12 19:45:10.171 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339860, current: 292240; 
07-12 19:45:10.171 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339861. This may result in incorrect timestamps in the output file.
07-12 19:45:10.171 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339861, current: 292768; 
07-12 19:45:10.171 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339862. This may result in incorrect timestamps in the output file.
07-12 19:45:10.172 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339862, current: 293312; 
07-12 19:45:10.172 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339863. This may result in incorrect timestamps in the output file.
07-12 19:45:10.173 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339863, current: 293840; 
07-12 19:45:10.173 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339864. This may result in incorrect timestamps in the output file.
07-12 19:45:10.174 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339864, current: 294368; 
07-12 19:45:10.174 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339865. This may result in incorrect timestamps in the output file.
07-12 19:45:10.174 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339865, current: 294912; 
07-12 19:45:10.174 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339866. This may result in incorrect timestamps in the output file.
07-12 19:45:10.174 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339866, current: 295440; 
07-12 19:45:10.174 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339867. This may result in incorrect timestamps in the output file.
07-12 19:45:10.175 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339867, current: 295968; 
07-12 19:45:10.175 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339868. This may result in incorrect timestamps in the output file.
07-12 19:45:10.175 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339868, current: 296512; 
07-12 19:45:10.175 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339869. This may result in incorrect timestamps in the output file.
07-12 19:45:10.176 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339869, current: 297040; 
07-12 19:45:10.176 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339870. This may result in incorrect timestamps in the output file.
07-12 19:45:10.177 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339870, current: 297584; 
07-12 19:45:10.177 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339871. This may result in incorrect timestamps in the output file.
07-12 19:45:10.178 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339871, current: 298112; 
07-12 19:45:10.178 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339872. This may result in incorrect timestamps in the output file.
07-12 19:45:10.178 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339872, current: 298640; 
07-12 19:45:10.178 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339873. This may result in incorrect timestamps in the output file.
07-12 19:45:10.178 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339873, current: 299184; 
07-12 19:45:10.178 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339874. This may result in incorrect timestamps in the output file.
07-12 19:45:10.179 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339874, current: 299712; 
07-12 19:45:10.179 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339875. This may result in incorrect timestamps in the output file.
07-12 19:45:10.179 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339875, current: 300240; 
07-12 19:45:10.179 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339876. This may result in incorrect timestamps in the output file.
07-12 19:45:10.180 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339876, current: 300784; 
07-12 19:45:10.180 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339877. This may result in incorrect timestamps in the output file.
07-12 19:45:10.180 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339877, current: 301312; 
07-12 19:45:10.180 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339878. This may result in incorrect timestamps in the output file.
07-12 19:45:10.182 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339878, current: 301840; 
07-12 19:45:10.182 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339879. This may result in incorrect timestamps in the output file.
07-12 19:45:10.182 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339879, current: 302384; 
07-12 19:45:10.182 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339880. This may result in incorrect timestamps in the output file.
07-12 19:45:10.182 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339880, current: 302912; 
07-12 19:45:10.182 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339881. This may result in incorrect timestamps in the output file.
07-12 19:45:10.182 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339881, current: 303456; 
07-12 19:45:10.183 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339882. This may result in incorrect timestamps in the output file.
07-12 19:45:10.183 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339882, current: 303984; 
07-12 19:45:10.183 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339883. This may result in incorrect timestamps in the output file.
07-12 19:45:10.183 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339883, current: 304512; 
07-12 19:45:10.183 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339884. This may result in incorrect timestamps in the output file.
07-12 19:45:10.183 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339884, current: 305056; 
07-12 19:45:10.183 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339885. This may result in incorrect timestamps in the output file.
07-12 19:45:10.184 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339885, current: 305584; 
07-12 19:45:10.184 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339886. This may result in incorrect timestamps in the output file.
07-12 19:45:10.185 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339886, current: 306112; 
07-12 19:45:10.186 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339887. This may result in incorrect timestamps in the output file.
07-12 19:45:10.186 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339887, current: 306656; 
07-12 19:45:10.186 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339888. This may result in incorrect timestamps in the output file.
07-12 19:45:10.186 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339888, current: 307184; 
07-12 19:45:10.186 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339889. This may result in incorrect timestamps in the output file.
07-12 19:45:10.187 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339889, current: 307712; 
07-12 19:45:10.187 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339890. This may result in incorrect timestamps in the output file.
07-12 19:45:10.187 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339890, current: 308256; 
07-12 19:45:10.188 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339891. This may result in incorrect timestamps in the output file.
07-12 19:45:10.188 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339891, current: 308784; 
07-12 19:45:10.188 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339892. This may result in incorrect timestamps in the output file.
07-12 19:45:10.188 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339892, current: 309328; 
07-12 19:45:10.188 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339893. This may result in incorrect timestamps in the output file.
07-12 19:45:10.190 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339893, current: 309856; 
07-12 19:45:10.190 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339894. This may result in incorrect timestamps in the output file.
07-12 19:45:10.190 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339894, current: 310384; 
07-12 19:45:10.190 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339895. This may result in incorrect timestamps in the output file.
07-12 19:45:10.190 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339895, current: 310928; 
07-12 19:45:10.190 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339896. This may result in incorrect timestamps in the output file.
07-12 19:45:10.190 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339896, current: 311456; 
07-12 19:45:10.190 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339897. This may result in incorrect timestamps in the output file.
07-12 19:45:10.190 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339897, current: 311984; 
07-12 19:45:10.191 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339898. This may result in incorrect timestamps in the output file.
07-12 19:45:10.191 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339898, current: 312528; 
07-12 19:45:10.191 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339899. This may result in incorrect timestamps in the output file.
07-12 19:45:10.191 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339899, current: 313056; 
07-12 19:45:10.191 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339900. This may result in incorrect timestamps in the output file.
07-12 19:45:10.193 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339900, current: 313600; 
07-12 19:45:10.193 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339901. This may result in incorrect timestamps in the output file.
07-12 19:45:10.193 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339901, current: 314128; 
07-12 19:45:10.193 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339902. This may result in incorrect timestamps in the output file.
07-12 19:45:10.194 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339902, current: 314656; 
07-12 19:45:10.194 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339903. This may result in incorrect timestamps in the output file.
07-12 19:45:10.194 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339903, current: 315200; 
07-12 19:45:10.194 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] changing to 339904. This may result in incorrect timestamps in the output file.
07-12 19:45:10.195 12363 12708 W mobile-ffmpeg: [mp4 @ 0x958d0e00] Non-monotonous DTS in output stream 0:0; previous: 339904, current: 315728; 
